community_name_join,year,crime_type,crime_count,population_2019,sector,comm_structure,crime_rate_per_1000
eau claire,2018,Break & Enter - Commercial,31,2030.0,CENTRE,CENTRE CITY,15.270935960591133
eau claire,2018,Break & Enter - Other Premises,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2018,Street Robbery,3,2030.0,CENTRE,CENTRE CITY,1.4778325123152711
eau claire,2018,Theft FROM Vehicle,51,2030.0,CENTRE,CENTRE CITY,25.123152709359605
eau claire,2018,Theft OF Vehicle,6,2030.0,CENTRE,CENTRE CITY,2.9556650246305423
eau claire,2018,Violence  'Other' (Non-domestic),15,2030.0,CENTRE,CENTRE CITY,7.389162561576354
eau claire,2019,Assault (Non-domestic),15,2030.0,CENTRE,CENTRE CITY,7.389162561576354
eau claire,2019,Break & Enter - Commercial,26,2030.0,CENTRE,CENTRE CITY,12.807881773399014
eau claire,2019,Break & Enter - Dwelling,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2019,Theft FROM Vehicle,108,2030.0,CENTRE,CENTRE CITY,53.20197044334975
eau claire,2019,Theft OF Vehicle,6,2030.0,CENTRE,CENTRE CITY,2.9556650246305423
eau claire,2019,Violence  'Other' (Non-domestic),4,2030.0,CENTRE,CENTRE CITY,1.9704433497536944
eau claire,2020,Assault (Non-domestic),6,2030.0,CENTRE,CENTRE CITY,2.9556650246305423
eau claire,2020,Break & Enter - Commercial,20,2030.0,CENTRE,CENTRE CITY,9.852216748768473
eau claire,2020,Break & Enter - Dwelling,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2020,Break & Enter - Other Premises,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2020,Street Robbery,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2020,Theft FROM Vehicle,24,2030.0,CENTRE,CENTRE CITY,11.822660098522169
eau claire,2020,Theft OF Vehicle,6,2030.0,CENTRE,CENTRE CITY,2.9556650246305423
eau claire,2020,Violence  'Other' (Non-domestic),4,2030.0,CENTRE,CENTRE CITY,1.9704433497536944
eau claire,2021,Assault (Non-domestic),15,2030.0,CENTRE,CENTRE CITY,7.389162561576354
eau claire,2021,Break & Enter - Commercial,18,2030.0,CENTRE,CENTRE CITY,8.866995073891626
eau claire,2021,Break & Enter - Dwelling,3,2030.0,CENTRE,CENTRE CITY,1.4778325123152711
eau claire,2021,Break & Enter - Other Premises,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2021,Street Robbery,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2021,Theft FROM Vehicle,27,2030.0,CENTRE,CENTRE CITY,13.300492610837438
eau claire,2021,Theft OF Vehicle,2,2030.0,CENTRE,CENTRE CITY,0.9852216748768472
eau claire,2021,Violence  'Other' (Non-domestic),3,2030.0,CENTRE,CENTRE CITY,1.4778325123152711
eau claire,2022,Assault (Non-domestic),7,2030.0,CENTRE,CENTRE CITY,3.4482758620689653
eau claire,2022,Break & Enter - Commercial,14,2030.0,CENTRE,CENTRE CITY,6.896551724137931
eau claire,2022,Break & Enter - Other Premises,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2022,Street Robbery,4,2030.0,CENTRE,CENTRE CITY,1.9704433497536944
eau claire,2022,Theft FROM Vehicle,22,2030.0,CENTRE,CENTRE CITY,10.83743842364532
eau claire,2022,Theft OF Vehicle,5,2030.0,CENTRE,CENTRE CITY,2.4630541871921183
eau claire,2022,Violence  'Other' (Non-domestic),2,2030.0,CENTRE,CENTRE CITY,0.9852216748768472
eau claire,2023,Assault (Non-domestic),16,2030.0,CENTRE,CENTRE CITY,7.881773399014778
eau claire,2023,Break & Enter - Commercial,13,2030.0,CENTRE,CENTRE CITY,6.403940886699507
eau claire,2023,Break & Enter - Dwelling,2,2030.0,CENTRE,CENTRE CITY,0.9852216748768472
eau claire,2023,Break & Enter - Other Premises,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2023,Street Robbery,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2023,Theft FROM Vehicle,34,2030.0,CENTRE,CENTRE CITY,16.748768472906402
eau claire,2023,Theft OF Vehicle,9,2030.0,CENTRE,CENTRE CITY,4.433497536945813
eau claire,2023,Violence  'Other' (Non-domestic),4,2030.0,CENTRE,CENTRE CITY,1.9704433497536944
eau claire,2024,Assault (Non-domestic),8,2030.0,CENTRE,CENTRE CITY,3.940886699507389
eau claire,2024,Break & Enter - Commercial,7,2030.0,CENTRE,CENTRE CITY,3.4482758620689653
eau claire,2024,Break & Enter - Dwelling,2,2030.0,CENTRE,CENTRE CITY,0.9852216748768472
eau claire,2024,Break & Enter - Other Premises,1,2030.0,CENTRE,CENTRE CITY,0.4926108374384236
eau claire,2024,Street Robbery,3,2030.0,CENTRE,CENTRE CITY,1.4778325123152711
eau claire,2024,Theft FROM Vehicle,15,2030.0,CENTRE,CENTRE CITY,7.389162561576354
eau claire,2024,Theft OF Vehicle,6,2030.0,CENTRE,CENTRE CITY,2.9556650246305423
eau claire,2024,Violence  'Other' (Non-domestic),3,2030.0,CENTRE,CENTRE CITY,1.4778325123152711
edgemont,2018,Assault (Non-domestic),7,15395.0,NORTHWEST,1980s/1990s,0.4546930821695355
edgemont,2018,Break & Enter - Commercial,6,15395.0,NORTHWEST,1980s/1990s,0.3897369275738876
edgemont,2018,Break & Enter - Dwelling,49,15395.0,NORTHWEST,1980s/1990s,3.1828515751867488
edgemont,2018,Break & Enter - Other Premises,5,15395.0,NORTHWEST,1980s/1990s,0.32478077297823965
edgemont,2018,Commercial Robbery,5,15395.0,NORTHWEST,1980s/1990s,0.32478077297823965
edgemont,2018,Street Robbery,2,15395.0,NORTHWEST,1980s/1990s,0.12991230919129587
edgemont,2018,Theft FROM Vehicle,71,15395.0,NORTHWEST,1980s/1990s,4.611886976291004
edgemont,2018,Theft OF Vehicle,25,15395.0,NORTHWEST,1980s/1990s,1.6239038648911985
edgemont,2018,Violence  'Other' (Non-domestic),9,15395.0,NORTHWEST,1980s/1990s,0.5846053913608315
edgemont,2019,Assault (Non-domestic),5,15395.0,NORTHWEST,1980s/1990s,0.32478077297823965
edgemont,2019,Break & Enter - Commercial,7,15395.0,NORTHWEST,1980s/1990s,0.4546930821695355
edgemont,2019,Break & Enter - Dwelling,51,15395.0,NORTHWEST,1980s/1990s,3.312763884378045
edgemont,2019,Break & Enter - Other Premises,4,15395.0,NORTHWEST,1980s/1990s,0.25982461838259174
edgemont,2019,Commercial Robbery,7,15395.0,NORTHWEST,1980s/1990s,0.4546930821695355
edgemont,2019,Street Robbery,4,15395.0,NORTHWEST,1980s/1990s,0.25982461838259174
edgemont,2019,Theft FROM Vehicle,78,15395.0,NORTHWEST,1980s/1990s,5.066580058460539
edgemont,2019,Theft OF Vehicle,16,15395.0,NORTHWEST,1980s/1990s,1.039298473530367
edgemont,2019,Violence  'Other' (Non-domestic),12,15395.0,NORTHWEST,1980s/1990s,0.7794738551477752
edgemont,2020,Assault (Non-domestic),8,15395.0,NORTHWEST,1980s/1990s,0.5196492367651835
edgemont,2020,Break & Enter - Commercial,8,15395.0,NORTHWEST,1980s/1990s,0.5196492367651835
edgemont,2020,Break & Enter - Dwelling,36,15395.0,NORTHWEST,1980s/1990s,2.338421565443326
edgemont,2020,Break & Enter - Other Premises,1,15395.0,NORTHWEST,1980s/1990s,0.06495615459564794
edgemont,2020,Commercial Robbery,2,15395.0,NORTHWEST,1980s/1990s,0.12991230919129587
edgemont,2020,Street Robbery,3,15395.0,NORTHWEST,1980s/1990s,0.1948684637869438
edgemont,2020,Theft FROM Vehicle,53,15395.0,NORTHWEST,1980s/1990s,3.4426761935693406
edgemont,2020,Theft OF Vehicle,9,15395.0,NORTHWEST,1980s/1990s,0.5846053913608315
edgemont,2020,Violence  'Other' (Non-domestic),9,15395.0,NORTHWEST,1980s/1990s,0.5846053913608315
edgemont,2021,Assault (Non-domestic),6,15395.0,NORTHWEST,1980s/1990s,0.3897369275738876
edgemont,2021,Break & Enter - Commercial,4,15395.0,NORTHWEST,1980s/1990s,0.25982461838259174
edgemont,2021,Break & Enter - Dwelling,22,15395.0,NORTHWEST,1980s/1990s,1.4290354011042545
edgemont,2021,Break & Enter - Other Premises,1,15395.0,NORTHWEST,1980s/1990s,0.06495615459564794
edgemont,2021,Commercial Robbery,1,15395.0,NORTHWEST,1980s/1990s,0.06495615459564794
edgemont,2021,Theft FROM Vehicle,26,15395.0,NORTHWEST,1980s/1990s,1.6888600194868464
edgemont,2021,Theft OF Vehicle,11,15395.0,NORTHWEST,1980s/1990s,0.7145177005521273
edgemont,2021,Violence  'Other' (Non-domestic),10,15395.0,NORTHWEST,1980s/1990s,0.6495615459564793
edgemont,2022,Assault (Non-domestic),6,15395.0,NORTHWEST,1980s/1990s,0.3897369275738876
edgemont,2022,Break & Enter - Commercial,10,15395.0,NORTHWEST,1980s/1990s,0.6495615459564793
edgemont,2022,Break & Enter - Dwelling,21,15395.0,NORTHWEST,1980s/1990s,1.3640792465086067
edgemont,2022,Break & Enter - Other Premises,2,15395.0,NORTHWEST,1980s/1990s,0.12991230919129587
edgemont,2022,Commercial Robbery,4,15395.0,NORTHWEST,1980s/1990s,0.25982461838259174
edgemont,2022,Street Robbery,3,15395.0,NORTHWEST,1980s/1990s,0.1948684637869438
edgemont,2022,Theft FROM Vehicle,66,15395.0,NORTHWEST,1980s/1990s,4.287106203312764
edgemont,2022,Theft OF Vehicle,11,15395.0,NORTHWEST,1980s/1990s,0.7145177005521273
edgemont,2022,Violence  'Other' (Non-domestic),12,15395.0,NORTHWEST,1980s/1990s,0.7794738551477752
edgemont,2023,Assault (Non-domestic),10,15395.0,NORTHWEST,1980s/1990s,0.6495615459564793
edgemont,2023,Break & Enter - Commercial,8,15395.0,NORTHWEST,1980s/1990s,0.5196492367651835
edgemont,2023,Break & Enter - Dwelling,25,15395.0,NORTHWEST,1980s/1990s,1.6239038648911985
edgemont,2023,Break & Enter - Other Premises,2,15395.0,NORTHWEST,1980s/1990s,0.12991230919129587
edgemont,2023,Street Robbery,2,15395.0,NORTHWEST,1980s/1990s,0.12991230919129587
edgemont,2023,Theft FROM Vehicle,19,15395.0,NORTHWEST,1980s/1990s,1.234166937317311
edgemont,2023,Theft OF Vehicle,6,15395.0,NORTHWEST,1980s/1990s,0.3897369275738876
edgemont,2023,Violence  'Other' (Non-domestic),9,15395.0,NORTHWEST,1980s/1990s,0.5846053913608315
edgemont,2024,Assault (Non-domestic),9,15395.0,NORTHWEST,1980s/1990s,0.5846053913608315
edgemont,2024,Break & Enter - Commercial,4,15395.0,NORTHWEST,1980s/1990s,0.25982461838259174
edgemont,2024,Break & Enter - Dwelling,8,15395.0,NORTHWEST,1980s/1990s,0.5196492367651835
edgemont,2024,Break & Enter - Other Premises,1,15395.0,NORTHWEST,1980s/1990s,0.06495615459564794
edgemont,2024,Commercial Robbery,2,15395.0,NORTHWEST,1980s/1990s,0.12991230919129587
edgemont,2024,Street Robbery,1,15395.0,NORTHWEST,1980s/1990s,0.06495615459564794
edgemont,2024,Theft FROM Vehicle,24,15395.0,NORTHWEST,1980s/1990s,1.5589477102955505
edgemont,2024,Theft OF Vehicle,6,15395.0,NORTHWEST,1980s/1990s,0.3897369275738876
edgemont,2024,Violence  'Other' (Non-domestic),11,15395.0,NORTHWEST,1980s/1990s,0.7145177005521273
elbow park,2018,Assault (Non-domestic),1,3342.0,CENTRE,INNER CITY,0.2992220227408737
elbow park,2018,Break & Enter - Commercial,7,3342.0,CENTRE,INNER CITY,2.094554159186116
elbow park,2018,Break & Enter - Dwelling,11,3342.0,CENTRE,INNER CITY,3.291442250149611
elbow park,2018,Break & Enter - Other Premises,12,3342.0,CENTRE,INNER CITY,3.5906642728904847
elbow park,2018,Theft FROM Vehicle,47,3342.0,CENTRE,INNER CITY,14.063435068821066
elbow park,2018,Theft OF Vehicle,11,3342.0,CENTRE,INNER CITY,3.291442250149611
elbow park,2018,Violence  'Other' (Non-domestic),2,3342.0,CENTRE,INNER CITY,0.5984440454817475
elbow park,2019,Assault (Non-domestic),3,3342.0,CENTRE,INNER CITY,0.8976660682226212
elbow park,2019,Break & Enter - Commercial,3,3342.0,CENTRE,INNER CITY,0.8976660682226212
elbow park,2019,Break & Enter - Dwelling,11,3342.0,CENTRE,INNER CITY,3.291442250149611
elbow park,2019,Break & Enter - Other Premises,13,3342.0,CENTRE,INNER CITY,3.8898862956313582
elbow park,2019,Theft FROM Vehicle,34,3342.0,CENTRE,INNER CITY,10.173548773189706
elbow park,2019,Theft OF Vehicle,9,3342.0,CENTRE,INNER CITY,2.6929982046678638
elbow park,2020,Assault (Non-domestic),4,3342.0,CENTRE,INNER CITY,1.196888090963495
elbow park,2020,Break & Enter - Commercial,7,3342.0,CENTRE,INNER CITY,2.094554159186116
elbow park,2020,Break & Enter - Dwelling,8,3342.0,CENTRE,INNER CITY,2.39377618192699
elbow park,2020,Break & Enter - Other Premises,21,3342.0,CENTRE,INNER CITY,6.283662477558349
elbow park,2020,Theft FROM Vehicle,40,3342.0,CENTRE,INNER CITY,11.968880909634949
elbow park,2020,Theft OF Vehicle,5,3342.0,CENTRE,INNER CITY,1.4961101137043686
elbow park,2020,Violence  'Other' (Non-domestic),1,3342.0,CENTRE,INNER CITY,0.2992220227408737
elbow park,2021,Assault (Non-domestic),1,3342.0,CENTRE,INNER CITY,0.2992220227408737
elbow park,2021,Break & Enter - Commercial,5,3342.0,CENTRE,INNER CITY,1.4961101137043686
elbow park,2021,Break & Enter - Dwelling,16,3342.0,CENTRE,INNER CITY,4.78755236385398
elbow park,2021,Break & Enter - Other Premises,18,3342.0,CENTRE,INNER CITY,5.3859964093357275
elbow park,2021,Theft FROM Vehicle,31,3342.0,CENTRE,INNER CITY,9.275882704967085
elbow park,2021,Theft OF Vehicle,13,3342.0,CENTRE,INNER CITY,3.8898862956313582
elbow park,2021,Violence  'Other' (Non-domestic),4,3342.0,CENTRE,INNER CITY,1.196888090963495
elbow park,2022,Assault (Non-domestic),2,3342.0,CENTRE,INNER CITY,0.5984440454817475
elbow park,2022,Break & Enter - Commercial,4,3342.0,CENTRE,INNER CITY,1.196888090963495
elbow park,2022,Break & Enter - Dwelling,8,3342.0,CENTRE,INNER CITY,2.39377618192699
elbow park,2022,Break & Enter - Other Premises,15,3342.0,CENTRE,INNER CITY,4.488330341113106
elbow park,2022,Street Robbery,1,3342.0,CENTRE,INNER CITY,0.2992220227408737
elbow park,2022,Theft FROM Vehicle,22,3342.0,CENTRE,INNER CITY,6.582884500299222
elbow park,2022,Theft OF Vehicle,4,3342.0,CENTRE,INNER CITY,1.196888090963495
elbow park,2023,Assault (Non-domestic),1,3342.0,CENTRE,INNER CITY,0.2992220227408737
elbow park,2023,Break & Enter - Commercial,3,3342.0,CENTRE,INNER CITY,0.8976660682226212
elbow park,2023,Break & Enter - Dwelling,8,3342.0,CENTRE,INNER CITY,2.39377618192699
elbow park,2023,Break & Enter - Other Premises,8,3342.0,CENTRE,INNER CITY,2.39377618192699
elbow park,2023,Theft FROM Vehicle,27,3342.0,CENTRE,INNER CITY,8.07899461400359
elbow park,2023,Theft OF Vehicle,3,3342.0,CENTRE,INNER CITY,0.8976660682226212
elbow park,2023,Violence  'Other' (Non-domestic),2,3342.0,CENTRE,INNER CITY,0.5984440454817475
elbow park,2024,Assault (Non-domestic),1,3342.0,CENTRE,INNER CITY,0.2992220227408737
elbow park,2024,Break & Enter - Commercial,3,3342.0,CENTRE,INNER CITY,0.8976660682226212
elbow park,2024,Break & Enter - Dwelling,4,3342.0,CENTRE,INNER CITY,1.196888090963495
elbow park,2024,Break & Enter - Other Premises,3,3342.0,CENTRE,INNER CITY,0.8976660682226212
elbow park,2024,Theft FROM Vehicle,23,3342.0,CENTRE,INNER CITY,6.882106523040095
elbow park,2024,Theft OF Vehicle,4,3342.0,CENTRE,INNER CITY,1.196888090963495
elbow park,2024,Violence  'Other' (Non-domestic),2,3342.0,CENTRE,INNER CITY,0.5984440454817475
elboya,2018,Assault (Non-domestic),4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2018,Break & Enter - Commercial,9,1754.0,CENTRE,1950s,5.131128848346637
elboya,2018,Break & Enter - Dwelling,3,1754.0,CENTRE,1950s,1.7103762827822122
elboya,2018,Break & Enter - Other Premises,8,1754.0,CENTRE,1950s,4.561003420752566
elboya,2018,Commercial Robbery,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2018,Theft FROM Vehicle,41,1754.0,CENTRE,1950s,23.375142531356897
elboya,2018,Theft OF Vehicle,6,1754.0,CENTRE,1950s,3.4207525655644244
elboya,2018,Violence  'Other' (Non-domestic),4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2019,Assault (Non-domestic),4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2019,Break & Enter - Commercial,6,1754.0,CENTRE,1950s,3.4207525655644244
elboya,2019,Break & Enter - Dwelling,4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2019,Break & Enter - Other Premises,9,1754.0,CENTRE,1950s,5.131128848346637
elboya,2019,Theft FROM Vehicle,37,1754.0,CENTRE,1950s,21.094640820980615
elboya,2019,Theft OF Vehicle,7,1754.0,CENTRE,1950s,3.990877993158495
elboya,2019,Violence  'Other' (Non-domestic),1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2020,Assault (Non-domestic),5,1754.0,CENTRE,1950s,2.8506271379703536
elboya,2020,Break & Enter - Commercial,5,1754.0,CENTRE,1950s,2.8506271379703536
elboya,2020,Break & Enter - Dwelling,4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2020,Break & Enter - Other Premises,20,1754.0,CENTRE,1950s,11.402508551881414
elboya,2020,Theft FROM Vehicle,27,1754.0,CENTRE,1950s,15.39338654503991
elboya,2020,Theft OF Vehicle,11,1754.0,CENTRE,1950s,6.271379703534778
elboya,2020,Violence  'Other' (Non-domestic),1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2021,Break & Enter - Commercial,6,1754.0,CENTRE,1950s,3.4207525655644244
elboya,2021,Break & Enter - Dwelling,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2021,Break & Enter - Other Premises,14,1754.0,CENTRE,1950s,7.98175598631699
elboya,2021,Theft FROM Vehicle,24,1754.0,CENTRE,1950s,13.683010262257698
elboya,2021,Theft OF Vehicle,4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2021,Violence  'Other' (Non-domestic),6,1754.0,CENTRE,1950s,3.4207525655644244
elboya,2022,Assault (Non-domestic),4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2022,Break & Enter - Commercial,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2022,Break & Enter - Dwelling,4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2022,Break & Enter - Other Premises,4,1754.0,CENTRE,1950s,2.280501710376283
elboya,2022,Street Robbery,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2022,Theft FROM Vehicle,23,1754.0,CENTRE,1950s,13.112884834663626
elboya,2022,Theft OF Vehicle,5,1754.0,CENTRE,1950s,2.8506271379703536
elboya,2022,Violence  'Other' (Non-domestic),3,1754.0,CENTRE,1950s,1.7103762827822122
elboya,2023,Assault (Non-domestic),1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2023,Break & Enter - Commercial,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2023,Break & Enter - Dwelling,2,1754.0,CENTRE,1950s,1.1402508551881414
elboya,2023,Break & Enter - Other Premises,5,1754.0,CENTRE,1950s,2.8506271379703536
elboya,2023,Theft FROM Vehicle,14,1754.0,CENTRE,1950s,7.98175598631699
elboya,2023,Theft OF Vehicle,7,1754.0,CENTRE,1950s,3.990877993158495
elboya,2023,Violence  'Other' (Non-domestic),3,1754.0,CENTRE,1950s,1.7103762827822122
elboya,2024,Assault (Non-domestic),1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2024,Break & Enter - Commercial,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2024,Break & Enter - Dwelling,1,1754.0,CENTRE,1950s,0.5701254275940707
elboya,2024,Break & Enter - Other Premises,3,1754.0,CENTRE,1950s,1.7103762827822122
elboya,2024,Theft FROM Vehicle,17,1754.0,CENTRE,1950s,9.692132269099202
elboya,2024,Theft OF Vehicle,5,1754.0,CENTRE,1950s,2.8506271379703536
elboya,2024,Violence  'Other' (Non-domestic),1,1754.0,CENTRE,1950s,0.5701254275940707
erin woods,2018,Assault (Non-domestic),9,7049.0,EAST,1980s/1990s,1.276776847779827
erin woods,2018,Break & Enter - Commercial,10,7049.0,EAST,1980s/1990s,1.4186409419775854
erin woods,2018,Break & Enter - Dwelling,4,7049.0,EAST,1980s/1990s,0.5674563767910342
erin woods,2018,Break & Enter - Other Premises,11,7049.0,EAST,1980s/1990s,1.560505036175344
erin woods,2018,Commercial Robbery,1,7049.0,EAST,1980s/1990s,0.14186409419775856
erin woods,2018,Street Robbery,1,7049.0,EAST,1980s/1990s,0.14186409419775856
erin woods,2018,Theft FROM Vehicle,59,7049.0,EAST,1980s/1990s,8.369981557667755
erin woods,2018,Theft OF Vehicle,47,7049.0,EAST,1980s/1990s,6.667612427294652
erin woods,2018,Violence  'Other' (Non-domestic),5,7049.0,EAST,1980s/1990s,0.7093204709887927
erin woods,2019,Assault (Non-domestic),13,7049.0,EAST,1980s/1990s,1.844233224570861
erin woods,2019,Break & Enter - Commercial,15,7049.0,EAST,1980s/1990s,2.1279614129663784
erin woods,2019,Break & Enter - Dwelling,11,7049.0,EAST,1980s/1990s,1.560505036175344
erin woods,2019,Break & Enter - Other Premises,24,7049.0,EAST,1980s/1990s,3.404738260746205
erin woods,2019,Commercial Robbery,3,7049.0,EAST,1980s/1990s,0.42559228259327564
erin woods,2019,Street Robbery,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2019,Theft FROM Vehicle,92,7049.0,EAST,1980s/1990s,13.051496666193787
erin woods,2019,Theft OF Vehicle,46,7049.0,EAST,1980s/1990s,6.525748333096893
erin woods,2019,Violence  'Other' (Non-domestic),9,7049.0,EAST,1980s/1990s,1.276776847779827
erin woods,2020,Assault (Non-domestic),12,7049.0,EAST,1980s/1990s,1.7023691303731026
erin woods,2020,Break & Enter - Commercial,18,7049.0,EAST,1980s/1990s,2.553553695559654
erin woods,2020,Break & Enter - Dwelling,11,7049.0,EAST,1980s/1990s,1.560505036175344
erin woods,2020,Break & Enter - Other Premises,11,7049.0,EAST,1980s/1990s,1.560505036175344
erin woods,2020,Street Robbery,3,7049.0,EAST,1980s/1990s,0.42559228259327564
erin woods,2020,Theft FROM Vehicle,66,7049.0,EAST,1980s/1990s,9.363030217052064
erin woods,2020,Theft OF Vehicle,38,7049.0,EAST,1980s/1990s,5.3908355795148255
erin woods,2020,Violence  'Other' (Non-domestic),4,7049.0,EAST,1980s/1990s,0.5674563767910342
erin woods,2021,Assault (Non-domestic),20,7049.0,EAST,1980s/1990s,2.837281883955171
erin woods,2021,Break & Enter - Commercial,13,7049.0,EAST,1980s/1990s,1.844233224570861
erin woods,2021,Break & Enter - Dwelling,8,7049.0,EAST,1980s/1990s,1.1349127535820684
erin woods,2021,Break & Enter - Other Premises,3,7049.0,EAST,1980s/1990s,0.42559228259327564
erin woods,2021,Commercial Robbery,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2021,Street Robbery,4,7049.0,EAST,1980s/1990s,0.5674563767910342
erin woods,2021,Theft FROM Vehicle,58,7049.0,EAST,1980s/1990s,8.228117463469996
erin woods,2021,Theft OF Vehicle,32,7049.0,EAST,1980s/1990s,4.539651014328274
erin woods,2021,Violence  'Other' (Non-domestic),11,7049.0,EAST,1980s/1990s,1.560505036175344
erin woods,2022,Assault (Non-domestic),20,7049.0,EAST,1980s/1990s,2.837281883955171
erin woods,2022,Break & Enter - Commercial,17,7049.0,EAST,1980s/1990s,2.4116896013618954
erin woods,2022,Break & Enter - Dwelling,5,7049.0,EAST,1980s/1990s,0.7093204709887927
erin woods,2022,Break & Enter - Other Premises,4,7049.0,EAST,1980s/1990s,0.5674563767910342
erin woods,2022,Commercial Robbery,1,7049.0,EAST,1980s/1990s,0.14186409419775856
erin woods,2022,Street Robbery,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2022,Theft FROM Vehicle,64,7049.0,EAST,1980s/1990s,9.079302028656548
erin woods,2022,Theft OF Vehicle,36,7049.0,EAST,1980s/1990s,5.107107391119308
erin woods,2022,Violence  'Other' (Non-domestic),14,7049.0,EAST,1980s/1990s,1.9860973187686195
erin woods,2023,Assault (Non-domestic),14,7049.0,EAST,1980s/1990s,1.9860973187686195
erin woods,2023,Break & Enter - Commercial,17,7049.0,EAST,1980s/1990s,2.4116896013618954
erin woods,2023,Break & Enter - Dwelling,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2023,Break & Enter - Other Premises,11,7049.0,EAST,1980s/1990s,1.560505036175344
erin woods,2023,Street Robbery,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2023,Theft FROM Vehicle,51,7049.0,EAST,1980s/1990s,7.235068804085686
erin woods,2023,Theft OF Vehicle,31,7049.0,EAST,1980s/1990s,4.397786920130515
erin woods,2023,Violence  'Other' (Non-domestic),8,7049.0,EAST,1980s/1990s,1.1349127535820684
erin woods,2024,Assault (Non-domestic),13,7049.0,EAST,1980s/1990s,1.844233224570861
erin woods,2024,Break & Enter - Commercial,20,7049.0,EAST,1980s/1990s,2.837281883955171
erin woods,2024,Break & Enter - Dwelling,1,7049.0,EAST,1980s/1990s,0.14186409419775856
erin woods,2024,Break & Enter - Other Premises,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2024,Commercial Robbery,1,7049.0,EAST,1980s/1990s,0.14186409419775856
erin woods,2024,Street Robbery,2,7049.0,EAST,1980s/1990s,0.2837281883955171
erin woods,2024,Theft FROM Vehicle,21,7049.0,EAST,1980s/1990s,2.9791459781529297
erin woods,2024,Theft OF Vehicle,20,7049.0,EAST,1980s/1990s,2.837281883955171
erin woods,2024,Violence  'Other' (Non-domestic),13,7049.0,EAST,1980s/1990s,1.844233224570861
erlton,2018,Assault (Non-domestic),3,1270.0,CENTRE,INNER CITY,2.3622047244094486
erlton,2018,Break & Enter - Commercial,13,1270.0,CENTRE,INNER CITY,10.236220472440944
erlton,2018,Break & Enter - Dwelling,3,1270.0,CENTRE,INNER CITY,2.3622047244094486
erlton,2018,Break & Enter - Other Premises,2,1270.0,CENTRE,INNER CITY,1.574803149606299
erlton,2018,Street Robbery,2,1270.0,CENTRE,INNER CITY,1.574803149606299
erlton,2018,Theft FROM Vehicle,25,1270.0,CENTRE,INNER CITY,19.68503937007874
erlton,2018,Theft OF Vehicle,15,1270.0,CENTRE,INNER CITY,11.811023622047244
erlton,2018,Violence  'Other' (Non-domestic),3,1270.0,CENTRE,INNER CITY,2.3622047244094486
erlton,2019,Assault (Non-domestic),5,1270.0,CENTRE,INNER CITY,3.937007874015748
erlton,2019,Break & Enter - Commercial,14,1270.0,CENTRE,INNER CITY,11.023622047244094
erlton,2019,Break & Enter - Dwelling,5,1270.0,CENTRE,INNER CITY,3.937007874015748
erlton,2019,Break & Enter - Other Premises,4,1270.0,CENTRE,INNER CITY,3.149606299212598
erlton,2019,Street Robbery,1,1270.0,CENTRE,INNER CITY,0.7874015748031495
erlton,2019,Theft FROM Vehicle,46,1270.0,CENTRE,INNER CITY,36.22047244094488
erlton,2019,Theft OF Vehicle,5,1270.0,CENTRE,INNER CITY,3.937007874015748
erlton,2019,Violence  'Other' (Non-domestic),2,1270.0,CENTRE,INNER CITY,1.574803149606299
